指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金,
801960,2020-12-31 00:00:00,CNSESZ,0.3538,0.2843,10.0785,0.0573,0.1116,0.0351,0.0871,0.0366,0.2248,0.0905,0.0728,-61.5384,62.5384,None,None,None,None,None,None,None,None,None,0.0,0.0,1.456,1.6246,
801960,2020-06-30 00:00:00,CNSESZ,0.1726,0.1548,4.7139,0.0,0.1182,0.0366,0.0916,0.0217,0.1154,0.0461,0.0413,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3441,1.4315,
801960,2021-03-31 00:00:00,CNSESZ,0.1941,0.1861,3.126,0.0,0.1471,0.0621,0.1273,0.0162,0.0978,0.0477,0.0457,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.6449,1.6459,
801960,2020-09-30 00:00:00,CNSESZ,0.3281,0.3018,7.2424,0.0,0.1274,0.0453,0.1038,0.0366,0.1924,0.0839,0.0772,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.4601,1.6348,
801960,2019-09-30 00:00:00,CNSESZ,0.2884,0.2372,8.4993,0.0,0.0747,0.0339,0.0572,0.0337,0.1322,0.0784,0.0645,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.3028,1.4016,
801960,2021-06-30 00:00:00,CNSESH,0.2865,0.2622,7.1118,0.0,0.1138,0.0402,0.071,0.0252,0.0886,0.0502,0.0459,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0195,0.0,2.9653,0.8898,
801960,2019-12-31 00:00:00,CNSESZ,0.3152,0.2547,11.2295,0.0694,0.0767,0.028,0.0508,0.0368,0.1528,0.0844,0.0682,0.0723,0.9277,None,None,None,None,None,None,None,None,None,0.6573,0.0,1.3349,1.3996,
801960,2019-03-31 00:00:00,CNSESZ,0.0866,0.0707,2.6227,0.0,0.0688,0.033,0.0515,0.0115,0.0411,0.0263,0.0215,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2405,1.3651,
801960,2021-09-30 00:00:00,CNSESH,0.4223,0.3986,11.2083,0.0,0.1097,0.0376,0.0656,0.0372,0.1269,0.0728,0.0687,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.9872,0.8939,
801960,2020-03-31 00:00:00,CNSESH,-0.0863,-0.0857,3.0238,0.0,0.0482,-0.0285,-0.0185,-0.0041,-0.0099,-0.0153,-0.0152,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,2.7172,0.8688,
801960,2019-06-30 00:00:00,CNSESZ,0.1805,0.1532,5.6577,0.0,0.0718,0.0319,0.0537,0.0242,0.0887,0.0527,0.0447,0.0,1.0,None,None,None,None,None,None,None,None,None,0.203,0.0,1.2227,1.4016,
801960,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
