指数代码,变动日期,市场代码,每股收益(摊薄),每股收益(扣除非经常性损益),每股销售收入,每股现金红利,销售毛利率,销售净利率,息税前利润率,总资产收益率,税前总资产收益率,净资产收益率,净资产收益率(扣除非经常性损益),红利发放比率,留存比率,主营收入增长率,主营利润增长率,营业利润增长率,息税前利润增长率,净利润增长率,每股收益增长率,每股收益增长率(扣除非经常性损益),每股红利增长率,附息债务年利息率,每股净资产,调整后的每股净资产,每股未分配利润,每股资本公积金
801161,2018-09-30 00:00:00,CNSESZ,0.1775,0.0704,1.7698,0.0,0.2167,0.1003,0.2244,0.0323,0.1392,0.0622,0.0246,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6034,1.0515
801161,2017-09-30 00:00:00,CNSESZ,0.1598,0.0628,1.6213,0.0,0.2226,0.0985,0.2265,0.0343,0.1435,0.0624,0.0245,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4962,0.9953
801161,2018-03-31 00:00:00,CNSESZ,0.0582,0.0126,0.5658,0.0,0.1878,0.1029,0.2249,0.0107,0.0456,0.0208,0.0045,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.546,1.0274
801161,2017-12-31 00:00:00,CNSESZ,0.1637,0.0609,2.2603,0.0014,0.199,0.0724,0.1858,0.0367,0.1538,0.0599,0.0223,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.4877,1.0252
801161,2017-03-31 00:00:00,CNSESZ,0.0484,0.012,0.4897,0.0,0.2056,0.0989,0.2249,0.0109,0.0443,0.0195,0.0048,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1469,0.0,0.4679,1.043
801161,2017-06-30 00:00:00,CNSESH,0.1301,0.1226,1.701,0.0,0.1792,0.0765,0.193,0.0197,0.094,0.0373,0.0351,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1585,0.0,0.9705,1.0814
801161,2018-06-30 00:00:00,CNSESZ,0.1188,0.0446,1.1515,0.0,0.206,0.1032,0.2216,0.0217,0.0915,0.0426,0.0159,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.5462,1.05
801161,2018-12-31 00:00:00,CNSESZ,0.1985,0.067,2.4449,0.0014,0.2077,0.0812,0.2,0.0387,0.1688,0.0685,0.0231,0.0527,0.9473,None,None,None,None,None,None,None,None,None,0.0,0.0,0.6064,1.0693
801161,2019-03-31 00:00:00,CNSESZ,0.0776,0.0262,0.6379,0.0,0.2458,0.1217,0.273,0.0119,0.0526,0.0234,0.0079,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8299,1.2026
801161,2019-06-30 00:00:00,CNSESZ,0.1528,0.063,1.3239,0.0,0.2538,0.1154,0.2622,0.0241,0.1053,0.0463,0.0191,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.8328,1.21
801161,2019-09-30 00:00:00,CNSESZ,0.2167,0.1686,1.9166,0.0,0.2566,0.113,0.2619,0.0362,0.156,0.0673,0.0523,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1653,0.0,0.8396,1.2094
801161,2020-03-31 00:00:00,CNSESH,0.0623,0.0481,0.8877,0.0,0.2224,0.0701,0.2024,0.01,0.0472,0.0163,0.0126,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0728,0.0,1.1962,1.0085
801161,2019-12-31 00:00:00,CNSESZ,0.225,0.1556,2.5808,0.0297,0.2476,0.0871,0.2304,0.0416,0.1868,0.0706,0.0488,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1926,0.0,0.8181,1.2104
801161,2020-06-30 00:00:00,CNSESZ,0.1665,0.1191,1.2133,0.0,0.2478,0.1372,0.2928,0.0242,0.1085,0.0508,0.0363,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0368,0.0,0.6819,1.0899
801161,2020-09-30 00:00:00,CNSESZ,0.26,0.2026,1.8928,0.0,0.2896,0.1373,0.2927,0.0378,0.1594,0.0748,0.0582,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,0.9862,1.2108
801161,2020-12-31 00:00:00,CNSESZ,0.2856,0.2117,2.7001,0.0412,0.261,0.1057,0.2425,0.0428,0.1849,0.0806,0.0597,0.0,1.0,None,None,None,None,None,None,None,None,None,0.1878,0.0,0.9976,1.2041
801161,2021-03-31 00:00:00,CNSESH,0.0915,0.0785,1.1086,0.0,0.192,0.0825,0.1905,0.0111,0.0499,0.0216,0.0185,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0676,0.0,1.3446,1.111
801161,2021-09-30 00:00:00,CNSESH,0.2321,0.1952,3.4172,0.0,0.1528,0.0679,0.1571,0.03,0.1255,0.0543,0.0456,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0,0.0,1.2514,1.1318
801161,2021-06-30 00:00:00,CNSESH,0.1885,0.1624,2.1223,0.0,0.1873,0.0888,0.1924,0.0226,0.0992,0.0458,0.0394,0.0,1.0,None,None,None,None,None,None,None,None,None,0.0734,0.0,1.2181,1.1294
801161,2021-12-31 00:00:00,CNSESH,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,0.0,0.0,None,None
